Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsVideoBusy,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency,MsInstrumentedLatency,D3D12PsoCompileCount,MsD3D12PsoCompileTime,D3D12PsoCompileBusyPercent
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5645.95340000000033,NA,7.67680000000000,6.94650000000000,4.16330000000000,5.85750000000000,24.44000000000000,NA,6.70600000000000,2.54270000000000,4.16330000000000,1.72620000000000,6.67400000000000,2.57430000000000,4.09970000000000,0.00000000000000,0.24770000000000,5645.95340000000033,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5652.65940000000046,NA,7.12300000000000,6.95410000000000,3.94100000000000,5.59080000000000,24.27110000000000,NA,6.90070000000000,2.95970000000000,3.94100000000000,2.26100000000000,6.28950000000000,2.58760000000000,3.70190000000000,0.00000000000000,-0.24810000000000,5652.65940000000046,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5659.56010000000060,NA,6.32540000000000,6.94810000000000,4.57770000000000,6.22120000000000,24.89380000000000,NA,6.96210000000000,2.38440000000000,4.57770000000000,1.64980000000000,6.95580000000000,2.54610000000000,4.40970000000000,0.00000000000000,-0.04740000000000,5659.56010000000060,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5666.52220000000034,NA,6.53370000000000,6.94700000000000,5.00050000000000,6.67080000000000,25.30710000000000,NA,6.95650000000000,1.95600000000000,5.00050000000000,1.64350000000000,6.98330000000000,2.59430000000000,4.38900000000000,0.00000000000000,0.01510000000000,5666.52220000000034,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5673.47870000000057,NA,7.19950000000000,6.95890000000000,4.74040000000000,6.40810000000000,25.06650000000000,NA,6.93940000000000,2.19900000000000,4.74040000000000,1.67030000000000,6.93680000000000,2.55410000000000,4.38270000000000,0.00000000000000,-0.00240000000000,5673.47870000000057,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5680.41809999999987,NA,7.17160000000000,6.92880000000000,4.51530000000000,6.18920000000000,24.82370000000000,NA,6.94650000000000,2.43120000000000,4.51530000000000,1.66770000000000,6.95270000000000,2.58290000000000,4.36980000000000,0.00000000000000,0.01060000000000,5680.41809999999987,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5687.36459999999988,NA,6.46280000000000,6.96210000000000,4.99170000000000,6.63740000000000,25.32300000000000,NA,6.93920000000000,1.94750000000000,4.99170000000000,1.67390000000000,6.91100000000000,2.54020000000000,4.37080000000000,0.00000000000000,-0.01560000000000,5687.36459999999988,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5694.30380000000059,NA,7.42500000000000,6.93120000000000,4.69240000000000,6.33900000000000,24.82920000000000,NA,7.12570000000000,2.43330000000000,4.69240000000000,1.76550000000000,7.00680000000000,2.61610000000000,4.39070000000000,0.00000000000000,0.00800000000000,5694.30380000000059,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5701.42950000000019,NA,7.44110000000000,6.95140000000000,4.01560000000000,5.67950000000000,24.33950000000000,NA,6.76430000000000,2.74870000000000,4.01560000000000,1.78190000000000,6.64630000000000,2.62360000000000,4.02270000000000,0.00000000000000,0.17430000000000,5701.42950000000019,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5708.19380000000001,NA,6.34480000000000,6.94090000000000,4.64240000000000,6.29510000000000,24.93560000000000,NA,6.97160000000000,2.32920000000000,4.64240000000000,1.66390000000000,6.96040000000000,2.57450000000000,4.38590000000000,0.00000000000000,-0.17660000000000,5708.19380000000001,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5715.16539999999986,NA,6.61220000000000,6.94720000000000,4.95240000000000,6.63440000000000,25.27060000000000,NA,6.92220000000000,1.96980000000000,4.95240000000000,1.65270000000000,6.95150000000000,2.62200000000000,4.32950000000000,0.00000000000000,0.02440000000000,5715.16539999999986,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5722.08759999999984,NA,7.19890000000000,6.94160000000000,4.70590000000000,6.35700000000000,25.01330000000000,NA,6.95240000000000,2.24650000000000,4.70590000000000,1.68200000000000,6.92150000000000,2.56860000000000,4.35290000000000,0.00000000000000,-0.01940000000000,5722.08759999999984,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5729.03999999999996,NA,7.16130000000000,6.94950000000000,4.47890000000000,6.15330000000000,24.80150000000000,NA,6.93430000000000,2.45540000000000,4.47890000000000,1.73500000000000,6.87370000000000,2.63950000000000,4.23420000000000,0.00000000000000,0.00290000000000,5729.03999999999996,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5735.97429999999986,NA,6.52920000000000,6.94220000000000,4.91400000000000,6.57140000000000,25.21450000000000,NA,6.96430000000000,2.05030000000000,4.91400000000000,1.67440000000000,6.94730000000000,2.54960000000000,4.39770000000000,0.00000000000000,-0.00790000000000,5735.97429999999986,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5742.93860000000041,NA,7.39870000000000,6.95730000000000,4.57970000000000,6.22750000000000,24.77310000000000,NA,7.06440000000000,2.48470000000000,4.57970000000000,1.65740000000000,7.05480000000000,2.55990000000000,4.49490000000000,0.00000000000000,0.00700000000000,5742.93860000000041,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5750.00300000000061,NA,7.44260000000000,6.93040000000000,4.11180000000000,5.76490000000000,24.26090000000000,NA,6.97470000000000,2.86290000000000,4.11180000000000,2.15800000000000,6.46980000000000,2.62750000000000,3.84230000000000,0.00000000000000,0.13400000000000,5750.00300000000061,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5756.97770000000037,NA,6.42100000000000,6.94390000000000,4.78750000000000,6.45190000000000,24.78380000000000,NA,7.09670000000000,2.30920000000000,4.78750000000000,1.65310000000000,7.10800000000000,2.56690000000000,4.54110000000000,0.00000000000000,0.03080000000000,5756.97770000000037,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5764.07440000000042,NA,6.76670000000000,6.94440000000000,4.75720000000000,6.47480000000000,24.96150000000000,NA,6.73640000000000,1.97920000000000,4.75720000000000,1.66440000000000,6.78960000000000,2.66980000000000,4.11980000000000,0.00000000000000,0.15230000000000,5764.07440000000042,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5770.81080000000020,NA,7.05300000000000,6.94690000000000,4.61240000000000,6.29370000000000,24.85540000000000,NA,6.90820000000000,2.29580000000000,4.61240000000000,1.71760000000000,6.87190000000000,2.52320000000000,4.34870000000000,0.00000000000000,-0.21050000000000,5770.81080000000020,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5777.71900000000005,NA,7.19280000000000,6.95200000000000,4.30850000000000,5.97070000000000,24.61460000000000,NA,6.88890000000000,2.58040000000000,4.30850000000000,1.68130000000000,6.86980000000000,2.58340000000000,4.28640000000000,0.00000000000000,-0.04380000000000,5777.71900000000005,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5784.60789999999997,NA,6.36820000000000,6.93960000000000,4.87020000000000,6.49970000000000,25.18600000000000,NA,6.92990000000000,2.05970000000000,4.87020000000000,1.66220000000000,6.89720000000000,2.53490000000000,4.36230000000000,0.00000000000000,-0.05070000000000,5784.60789999999997,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5791.53780000000006,NA,7.24270000000000,6.95640000000000,4.64180000000000,6.28040000000000,24.89970000000000,NA,7.01430000000000,2.37250000000000,4.64180000000000,1.69690000000000,6.95600000000000,2.60020000000000,4.35580000000000,0.00000000000000,-0.02650000000000,5791.53780000000006,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5798.55209999999988,NA,7.41840000000000,6.93460000000000,4.12240000000000,5.78080000000000,24.41590000000000,NA,6.89900000000000,2.77660000000000,4.12240000000000,1.78920000000000,6.76820000000000,2.61890000000000,4.14930000000000,0.00000000000000,0.07970000000000,5798.55209999999988,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5805.45110000000022,NA,6.36110000000000,6.94940000000000,4.90720000000000,6.57530000000000,25.00420000000000,NA,7.14590000000000,2.23870000000000,4.90720000000000,1.65840000000000,7.15560000000000,2.55090000000000,4.60470000000000,0.00000000000000,-0.05040000000000,5805.45110000000022,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5812.59700000000066,NA,7.01290000000000,6.93910000000000,4.65200000000000,6.32460000000000,24.93040000000000,NA,6.75770000000000,2.10570000000000,4.65200000000000,1.66810000000000,6.76220000000000,2.63190000000000,4.13030000000000,0.00000000000000,0.20680000000000,5812.59700000000066,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5819.35469999999987,NA,6.90330000000000,6.94510000000000,4.66430000000000,6.32330000000000,24.97220000000000,NA,6.91560000000000,2.25130000000000,4.66430000000000,1.67260000000000,6.90200000000000,2.53560000000000,4.36640000000000,0.00000000000000,-0.18740000000000,5819.35469999999987,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5826.27030000000013,NA,7.08190000000000,6.94790000000000,4.53960000000000,6.22220000000000,24.83820000000000,NA,6.95720000000000,2.41760000000000,4.53960000000000,1.73160000000000,6.90820000000000,2.65090000000000,4.25730000000000,0.00000000000000,-0.03230000000000,5826.27030000000013,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5833.22749999999996,NA,6.51350000000000,6.94830000000000,5.00590000000000,6.68380000000000,25.27300000000000,NA,6.97980000000000,1.97390000000000,5.00590000000000,1.68260000000000,6.97510000000000,2.55250000000000,4.42260000000000,0.00000000000000,0.00890000000000,5833.22749999999996,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5840.20730000000003,NA,7.44410000000000,6.95840000000000,4.44470000000000,6.08850000000000,24.78730000000000,NA,6.88290000000000,2.43820000000000,4.44470000000000,1.67790000000000,6.84880000000000,2.57060000000000,4.27820000000000,0.00000000000000,0.02140000000000,5840.20730000000003,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
Heaven.exe,12820,0x19284328,DXGI,1,0,0,Composed: Copy with GPU GDI,Application,5847.09020000000055,NA,7.31780000000000,6.93090000000000,4.17480000000000,5.83690000000000,24.40040000000000,NA,7.04790000000000,2.87310000000000,4.17480000000000,2.22500000000000,6.48500000000000,2.61800000000000,3.86700000000000,0.00000000000000,-0.04800000000000,5847.09020000000055,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
