Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartTime,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsVideoBusy,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency,MsInstrumentedLatency,PsoCompileCount,MsPsoCompileTime,PsoCompileBusyPercent
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13449.88460000000123,NA,33.28670000000000,33.25460000000000,0.24160000000000,0.47080000000000,0.65100000000000,NA,33.24820000000000,33.00660000000000,0.24160000000000,33.05220000000000,0.42520000000000,0.42520000000000,0.00000000000000,0.00000000000000,0.21750000000000,13449.88460000000123,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13483.13280000000123,NA,34.16010000000000,34.12920000000000,0.23630000000000,0.43880000000000,0.62010000000000,NA,34.15480000000000,33.91850000000000,0.23630000000000,33.91650000000000,0.44080000000000,0.44080000000000,0.00000000000000,0.00000000000000,-0.88100000000000,13483.13280000000123,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13517.28760000000148,NA,35.60800000000000,35.71330000000000,0.65060000000000,0.47680000000000,0.72540000000000,NA,36.02230000000000,35.37170000000000,0.65060000000000,35.41600000000000,0.43250000000000,0.43250000000000,0.00000000000000,0.00000000000000,-1.55850000000000,13517.28760000000148,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13553.30990000000020,NA,33.63090000000000,33.52790000000000,0.37050000000000,0.43390000000000,0.62240000000000,NA,33.35080000000000,32.98030000000000,0.37050000000000,32.98780000000000,0.42640000000000,0.42640000000000,0.00000000000000,0.00000000000000,2.49440000000000,13553.30990000000020,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13586.66070000000036,NA,34.20820000000001,34.18040000000000,0.23660000000000,0.44280000000000,0.59460000000000,NA,34.07430000000000,33.83770000000000,0.23660000000000,33.82480000000000,0.45570000000000,0.45570000000000,0.00000000000000,0.00000000000000,-0.82960000000000,13586.66070000000036,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13620.73500000000058,NA,33.59510000000000,33.62960000000000,0.23530000000000,0.44360000000000,0.62910000000000,NA,33.59380000000000,33.35850000000000,0.23530000000000,33.36950000000000,0.43260000000000,0.43260000000000,0.00000000000000,0.00000000000000,0.44470000000000,13620.73500000000058,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13654.32880000000114,NA,33.29950000000000,33.26370000000000,0.25610000000000,0.43650000000000,0.59330000000000,NA,33.32030000000000,33.06420000000000,0.25610000000000,33.06610000000000,0.43460000000000,0.43460000000000,0.00000000000000,0.00000000000000,0.33010000000000,13654.32880000000114,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13687.64910000000054,NA,33.41300000000000,33.37350000000000,0.23250000000000,0.41250000000000,0.55380000000000,NA,33.38940000000000,33.15690000000000,0.23250000000000,33.13860000000000,0.43080000000000,0.43080000000000,0.00000000000000,0.00000000000000,-0.05320000000000,13687.64910000000054,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13721.03850000000057,NA,33.38550000000000,33.49230000000000,0.23020000000000,0.46900000000000,0.66060000000000,NA,33.38320000000000,33.15300000000000,0.23020000000000,19.66340000000000,13.95860000000000,1.22020000000000,12.73840000000000,0.00000000000000,-0.10290000000000,13721.03850000000057,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13754.42170000000078,NA,117.94970000000001,117.79100000000001,0.22710000000000,0.35820000000000,0.50190000000000,NA,117.94660000000000,117.71950000000001,0.22710000000000,98.04630000000000,20.03140000000000,7.23630000000000,12.79510000000000,0.00000000000000,-84.40780000000001,13754.42170000000078,NA,NA,NA,NA,0,0.00000000000000,0.00000000000000
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13872.36830000000009,NA,52.33390000000000,52.41330000000000,0.27480000000000,0.43150000000000,0.58130000000000,NA,52.38160000000000,52.10680000000000,0.27480000000000,7.46800000000000,45.07030000000000,6.10530000000000,38.96500000000000,0.00000000000000,65.53330000000000,13872.36830000000009,NA,NA,NA,NA,2,0.31910000000000,0.60833326978656
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,13924.74990000000071,NA,138.74950000000001,138.77100000000002,0.29170000000000,0.39090000000000,0.60280000000000,NA,138.76640000000000,138.47470000000001,0.29170000000000,61.26470000000000,77.60090000000001,1.20260000000000,76.39830000000001,0.00000000000000,-86.38940000000001,13924.74990000000071,NA,NA,NA,NA,32,8.12500000000000,5.85795416448270
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,14063.51630000000114,NA,49.21070000000000,49.14290000000000,0.38610000000000,0.34860000000000,0.53500000000000,NA,49.30510000000000,48.91900000000000,0.38610000000000,48.86670000000000,0.40090000000000,0.40090000000000,0.00000000000000,0.00000000000000,89.62350000000001,14063.51630000000114,NA,NA,NA,NA,32,12.52340000000000,25.45913616939960
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,14112.82140000000072,NA,53.58610000000000,53.88320000000000,0.21260000000000,0.59740000000000,0.83210000000000,NA,53.41260000000000,53.20000000000000,0.21260000000000,18.10970000000000,35.68770000000000,0.93120000000000,34.75650000000000,0.00000000000000,-4.57810000000000,14112.82140000000072,NA,NA,NA,NA,66,9.64840000000000,17.92426716602853
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,14166.23400000000038,NA,33.50160000000000,33.34860000000000,0.32970000000000,0.46740000000000,0.67910000000000,NA,33.61870000000000,33.28900000000000,0.32970000000000,33.30250000000000,0.45390000000000,0.45390000000000,0.00000000000000,0.00000000000000,20.06400000000000,14166.23400000000038,NA,NA,NA,NA,20,5.96840000000000,17.88214990876760
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,14199.85270000000128,NA,41.71550000000000,41.66730000000000,0.21440000000000,0.44660000000000,0.63090000000000,NA,41.60020000000000,41.38580000000000,0.21440000000000,11.31780000000000,30.51460000000000,1.27560000000000,29.23900000000000,0.00000000000000,-8.04860000000000,14199.85270000000128,NA,NA,NA,NA,45,9.11020000000000,21.85937365031529
3DMarkSteelNomad.exe,5756,0x1EC30998B90,DXGI,0,0,1,Hardware Composed: Independent Flip,Application,14241.45290000000023,NA,73.16280000000000,73.26080000000000,0.28160000000000,0.47710000000000,0.72890000000000,NA,73.23000000000000,72.94840000000001,0.28160000000000,18.18100000000000,55.24450000000000,3.51200000000000,51.73250000000000,0.00000000000000,-31.66060000000000,14241.45290000000023,NA,NA,NA,NA,16,3.16100000000000,4.31714415655896
